Category,date,Description,Amount
,7/31/04,Courtyard By Marriott- Atlanta Ga,87
Food/Drink,7/31/04,Ruby Tuesday #2686 College Park Ga,18.11
Auto/Transportation,8/1/04,Union 76 00379982 Riverside Ca,15.73
Other Spending,8/2/04,Bill Pay Service Fee On 08-01,6.95
Other Spending,8/2/04,Non-Wells Fargo ATM Transaction Fee,2
Other Spending,8/3/04,Overdraft Fee,33
Other Spending,8/3/04,Overdraft Fee,33
Other Spending,8/3/04,Overdraft Fee,33
Other Spending,8/4/04,Overdraft Fee,33
Other Spending,8/5/04,Continuous Od Level 2 Charge,5
Other Spending,8/6/04,Continuous Od Level 2 Charge,5
Other Spending,8/9/04,Continuous Od Level 2 Charge,5
Other Spending,8/10/04,Continuous Od Level 2 Charge,5
Other Spending,8/11/04,Continuous Od Level 2 Charge,5
Other Spending,8/11/04,Monthly Point-Of-Sale (Pos) Purchase Fee Total Other Withdrawals,1
Other Spending,8/11/04,Monthly Service Fee,3.75
Other Spending,8/12/04,Continuous Od Level 2 Charge,5
Bills/Utilities,8/27/04,Charter Comm Chartercom 082604,53.18
,8/27/04,Easy Ad Photo Ad 805-543-9050 Ca,10
Groceries,8/29/04,Vons Store Vons Satascadero Ca 3319,3.29
Auto/Transportation,8/30/04,Chevron 00092265 San Luis Obis Ca,27.49
Credit Card/Loan Payments,9/1/04,Card Services 1 Payment 040831 Travis Lawrence 4791070400384499,2400
Other Spending,9/2/04,Bill Pay Service Fee On 09-01,6.95
Credit Card/Loan Payments,9/2/04,Wells Fargo Card Phone Pymt 040901 317 90418002018291,2100
Auto/Transportation,9/4/04,Shell Oil 57441083201 Atascadero Ca,12.95
Auto/Transportation,9/6/04,Chevron 00092060 Morgan Hill Ca,21.91
,9/8/04,Bill Pay Wellspring Wirel On-Line 30037360 On 09-08,77.11
Auto/Transportation,9/9/04,Chevron 00091928 Morro Bay Ca,27.42
Shopping,9/10/04,Kmart Kmart Atascadero Ca 3319,32.14
Auto/Transportation,9/12/04,Chevron 00093042 Newport Beach Ca,29.93
,9/12/04,Fmi-Angel Stadium Anaheim Ca,14.98
Other Spending,9/13/04,Monthly Point-Of-Sale (Pos) Purchase Fee,1
Other Spending,9/13/04,Monthly Point-Of-Sale (Pos) Purchase Fee,1
Other Spending,9/13/04,Monthly Service Fee,3.75
Other Spending,9/13/04,Monthly Service Fee,3.75
Auto/Transportation,9/14/04,Shell Oil 57441083201 Atascadero Ca,27.15
,9/17/04,Atascadero Tesoatascaderoatascadero Ca 3319,15.42
,9/17/04,Sou Staples #70Sou Staplepaso Robles Ca 3319,156.52
Auto/Transportation,9/18/04,Shell Service Sshell Servatascadero Ca 3319,10.77
Cash/ATM,9/20/04,ATM Withdrawal - 09/20 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22
Checks Written,9/20/04,Check #319,106.5
Checks Written,9/20/04,Check #320,137
Other Spending,9/20/04,Non-Wells Fargo ATM Transaction Fee,2
Groceries,9/21/04,Vons Store Vons Satascadero Ca 3319,10.57
,9/21/04,Wmv*Match.Com 800-926-2824 Tx,50.85
,9/22/04,Phone Banker Call 09/22,2
Auto/Transportation,9/23/04,Chevron 00092265 San Luis Obis Ca,28.87
Food/Drink,9/23/04,Taco De Mexico Taco De Mesan Luis Obisca 3319,9.12
Shopping,9/24/04,Boo Boo Records San Ls Obispo Ca,15
Food/Drink,9/24/04,High Street Market And San Louis Obi Ca,6.35
Auto/Transportation,9/24/04,Shell Oil 57441083201 Atascadero Ca,10.87
,9/25/04,The Bed Store Ii Santa Maria Ca,20
Cash/ATM,9/27/04,ATM Withdrawal - 09/27 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22
Checks Written,9/27/04,Check #321,100
Other Spending,9/27/04,Non-Wells Fargo ATM Transaction Fee,2
Cash/ATM,9/29/04,ATM Withdrawal - 09/29 7819T 7135 El Camino Real Atascadero Ca 3319,20
Other Spending,10/1/04,Bill Pay Service Fee On 10-01,6.95
Auto/Transportation,10/1/04,Union 76 46044897 Atasacadero Ca,11.76
Food/Drink,10/1/04,Woodstocks Pizza San L San Luis Obis Ca,3.98
Cash/ATM,10/2/04,ATM Withdrawal - 10/02 S1A07860 1 Grand Avenue Washingtonsnluis Obispoca 3319,40
Other Spending,10/4/04,Non-Wells Fargo ATM Transaction Fee,2
Food/Drink,10/4/04,Subway #1035 San Luis Obis Ca,4.71
Auto/Transportation,10/5/04,Union 76 10003606 San Luis Obis Ca,28.94
,10/6/04,The Shack San Luis Obis Ca,7
Cash/ATM,10/8/04,ATM Withdrawal - 10/08 0901A 665 Marsh St San Luis Obis Ca 3319,40
Food/Drink,10/8/04,Hudson'S Grill Slo San Luis Obis Ca,32.16
,10/8/04,Longs Drug Storlongs Drugatascadero Ca 3319,10.71
Groceries,10/8/04,Vons Store Vons Satascadero Ca 3319,31.4
,10/9/04,Tom'S Toys #1 San Luis Obis Ca,14.99
,10/11/04,Poor Boy Deli San Luis Obis Ca,6.09
Cash/ATM,10/12/04,ATM Withdrawal - 10/12 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22
Shopping,10/12/04,Boo Boo Records San Ls Obispo Ca,18.22
Other Spending,10/12/04,Non-Wells Fargo ATM Transaction Fee,2
Other Spending,10/13/04,Monthly Point-Of-Sale (Pos) Purchase Fee,1
Other Spending,10/13/04,Monthly Service Fee,3.75
Auto/Transportation,11/10/04,Chevron 00092265 San Luis Obis Ca,31.07
Auto/Transportation,11/10/04,Coast Marketingchevron San Luis Obisca 3319,8.81
Food/Drink,11/10/04,High Street Market And San Louis Obi Ca,6.35
Shopping,11/11/04,Boo Boo Records San Ls Obispo Ca,36.44
Food/Drink,11/11/04,Franks Hot Dogs San Luis Obis Ca,4.83
Cash/ATM,11/12/04,ATM Withdrawal - 11/12 0901A 665 Marsh St San Luis Obis Ca 3319,20
Auto/Transportation,11/13/04,Arco Paypoint Arco Payporiverside Ca 3319,22.33
,11/14/04,Yard House Rancho Mirage Ca,42.9
Personal Care,11/15/04,Asf*Health Club Dues 800-525-8967 Co,25
,11/15/04,Texaco Inc 93002630360 San Luis Obis Ca,28.02
,11/16/04,Owens Music Co-Slo San Luis Obis Ca,203.42
Food/Drink,11/16/04,Round Table Pizza Atascadero Ca,6
,11/16/04,Wp-Rpm Sports Ltd - Po Thurles Gb,78.83
Food/Drink,11/18/04,Pizza Solo San Luis Obis Ca,5.9
Cash/ATM,11/19/04,ATM Withdrawal - 11/19 7819U 7135 El Camino Real Atascadero Ca 3319,40
,11/19/04,Pepe Delgados Rest San Luis Obis Ca,31.17
Groceries,11/19/04,Vons Store Vons Satascadero Ca 3319,11.23
Auto/Transportation,11/22/04,Texaco Service Texaco Sersan Luis Obi Ca 3319,30.63
Food/Drink,11/24/04,High Street Market And San Louis Obi Ca,7.34
Auto/Transportation,11/24/04,Shell Oil 57441083201 Atascadero Ca,12.27
Cash/ATM,11/26/04,ATM Withdrawal - 11/26 81931730 6000 San Anselmin & Out Batascadero Ca 3319,41.5
Shopping,11/26/04,Bestbuy 255 Madbestbuy 25San Luis Obisca 3319,49.31
Shopping,11/26/04,Boo Boo Records San Ls Obispo Ca,17.15
Food/Drink,11/27/04,Slo Brewing Co Inc San Luis Obis Ca,15
Checks Written,11/29/04,Check #323,200
Other Spending,11/29/04,Non-Wells Fargo ATM Transaction Fee,2
Other Spending,12/2/04,Bill Pay Service Fee On 12-03,6.95
Cash/ATM,12/3/04,ATM Withdrawal - 12/03 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22
Other Spending,12/3/04,Non-Wells Fargo ATM Transaction Fee,2
Cash/ATM,12/4/04,ATM Withdrawal - 12/04 S1A07019 8150 Sunset Blvwashingtonlos Angeles Ca 3319,60
,12/4/04,Saddle Ranch Chop Hous W Hollywood Ca,66.5
Food/Drink,12/4/04,Senor Fish Alhambra Ca,16.58
,12/5/04,Le Sex Shoppe #5669 Pasadena Ca,30.28
Other Spending,12/6/04,Non-Wells Fargo ATM Transaction Fee,2
,12/8/04,Owens Music Co-Slo San Luis Obis Ca,210.92
Auto/Transportation,12/9/04,Union 76 10003606 San Luis Obis Ca,30.34
Personal Care,12/15/04,Asf*Health Club Dues 800-525-8967 Co,25
Food/Drink,12/16/04,Franks Hot Dogs San Luis Obis Ca,5.31
Shopping,12/16/04,Limelight Music-Gifts Atascadero Ca,8.47
Cash/ATM,12/17/04,ATM Withdrawal - 12/17 0901A 665 Marsh St San Luis Obis Ca 3319,20
Auto/Transportation,12/17/04,Chevron 00092265 San Luis Obis Ca,27.34
,12/18/04,Groove Tickets 323-9080607 Ca,84.28
Food/Drink,12/18/04,Round Table Pizza Atascadero Ca,15.04
Groceries,12/19/04,Atascadero Foodatascaderoatascadero Ca 3319,12.18
Food/Drink,12/19/04,Round Table Pizza Atascadero Ca,9
Shopping,12/21/04,Bestbuy 255 Madbestbuy 25San Luis Obisca 3319,42.89
,12/22/04,Wmv*Match.Com 800-926-2824 Tx,50.85
,12/23/04,Jim'S Campus Camera In San Luis O Ca,26.67
,12/24/04,Apple Computer 800-676-2775 Tx,25
Shopping,12/24/04,Boo Boo Records San Ls Obispo Ca,30.01
Auto/Transportation,12/24/04,Union 76 46044897 Atasacadero Ca,27.17
Shopping,12/26/04,Games Exchange Atascadero Ca,20
Shopping,12/26/04,Games Exchange Atascadero Ca,43.23
Shopping,12/26/04,Games Exchange Atascadero Ca,43.23
,12/29/04,Campus Bottle Shop San Luis Obis Ca,8.83
Auto/Transportation,12/30/04,Exxonmobil34 01367127 Oceansid Ca,25.45
Auto/Transportation,12/30/04,Union 76 18040311 Sanluis Obisp Ca,20.61
Cash/ATM,1/1/05,"ATM Withdrawal - 01/01 I85160 H S B C H S B C Ensenada, B.C00 3319",9.06
Cash/ATM,1/1/05,"ATM Withdrawal - 01/01 I85160 H S B C H S B C Ensenada, B.C00 3319",18.12
,1/1/05,Rest El Rey Sol Ensenada Bcn Mx,16.98
,1/2/05,Ralphs 2555 Easralphs 255Newport Bea Ca 3319,11.84
Auto/Transportation,1/3/05,Arco Paypoint Arco Paypocarpinteria Ca 3319,21.58
Other Spending,1/3/05,Bill Pay Service Fee On 01-01,6.95
Checks Written,1/3/05,Check #324,200
Other Spending,1/3/05,Foreign Curr Conv Fee,0.34
Other Spending,1/3/05,Non-Wells Fargo ATM Transaction Fee,3
Other Spending,1/3/05,Non-Wells Fargo ATM Transaction Fee,3
Food/Drink,1/3/05,Rubio'S Irvine #12 Irvine Ca,12.48
Cash/ATM,1/4/05,ATM Withdrawal - 01/04 0901B 665 Marsh St San Luis Obis Ca 3319,20
Checks Written,1/4/05,Check #325 78407Fc7A336F50D,141.93
Groceries,1/5/05,Atascadero Foodatascaderoatascadero Ca 3319,7.5
Auto/Transportation,1/5/05,Five Star Parking Lot San Diego Ca,48
Food/Drink,1/5/05,Round Table Pizza Atascadero Ca,8
,1/6/05,Borders Books 01005370 San Luis Obis Ca,5.74
Food/Drink,1/6/05,Franks Famous Hot Dogs San Luis Obis Ca,4.83
Cash/ATM,1/7/05,ATM Withdrawal - 01/07 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22
Auto/Transportation,1/7/05,Chevron 00092265 San Luis Obis Ca,25.61
Other Spending,1/7/05,Non-Wells Fargo ATM Transaction Fee,2
Cash/ATM,1/8/05,ATM Withdrawal - 01/08 Lk248476 728 Higuera St.Frog & Peasan Luis Obisca 3319,22
,1/9/05,Target T1120 Patarget T11Paso Robles Ca 3319,12.86
Other Spending,1/10/05,Non-Wells Fargo ATM Transaction Fee,2
Food/Drink,1/10/05,Quiznos Sub 498Quiznos Susan Luis Obisca 3319,2.8
,1/11/05,Amtrak Telep0119441180 800-Usa-Rail Dc,63
Cash/ATM,1/11/05,ATM Withdrawal - 01/11 0901E 665 Marsh St San Luis Obis Ca 3319,20
Cash/ATM,1/12/05,ATM Withdrawal - 01/12 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22
Other Spending,1/12/05,Monthly Point-Of-Sale (Pos) Purchase Fee,1
Other Spending,1/12/05,Monthly Service Fee,5
Other Spending,1/12/05,Non-Wells Fargo ATM Transaction Fee,2
Auto/Transportation,1/13/05,Chevron 00092265 San Luis Obis Ca,24.98
Food/Drink,1/13/05,Round Table Pizza Atascadero Ca,9.64
Food/Drink,1/14/05,Carlton Restaurant+Gri Atascadero Ca,73.97
Checks Written,1/14/05,Check #327,25
Health,1/14/05,Rite Aid Store 5827 Atascadero Ca,12.86
,1/15/05,Hoovers 101 Cafe Atascadero Ca,18.02
,1/15/05,Sea Barn Inc 11Sea Barn Iarroyo Grandeca 3319,25.74
Personal Care,1/17/05,Asf*Health Club Dues 800-525-8967 Co,25
Auto/Transportation,1/19/05,Chevron 00092265 San Luis Obis Ca,26.62
Cash/ATM,1/21/05,ATM Withdrawal - 01/21 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22
Food/Drink,1/21/05,Hudson'S Grill Slo San Luis Obis Ca,28.72
Other Spending,1/21/05,Non-Wells Fargo ATM Transaction Fee,2
Cash/ATM,1/22/05,ATM Withdrawal - 01/22 0901E 665 Marsh St San Luis Obis Ca 3319,40
,1/22/05,Los Arroyos Santa Barbara Ca,13.57
,1/26/05,Barnesnoble 89Barnesnoblsan Luis Obisca 3319,6.42
Credit Card/Loan Payments,1/26/05,Bill Pay At&T Universal C On-Line 5491130011008364 On 01-26,27
,1/26/05,Cambria Pines Lodge Re Cambria Ca,4.31
Food/Drink,1/26/05,Pizza Solo Pizza Solosan Luis Obisca 3319,7.51
Food/Drink,1/27/05,High Street Market And San Louis Obi Ca,7.46
Groceries,1/28/05,Vons Store Vons Satascadero Ca 3319,26.15
Shopping,1/29/05,Boo Boo Records San Ls Obispo Ca,38.58
,1/31/05,Muzio'S Grocery Inc San Luis Obis Ca,7.46
Other Spending,2/1/05,Bill Pay Service Fee On 02-01,6.95
Checks Written,2/1/05,Check #326,136.5
Food/Drink,2/1/05,Mos Smokehouse Bbq San Luis Obis Ca,20.75
Food/Drink,2/1/05,Round Table Pizza Atascadero Ca,8
,2/1/05,Texaco Inc 93002630360 San Luis Obis Ca,26.6
Food/Drink,2/2/05,Slo Brewing Co Inc San Luis Obis Ca,7.5
Food/Drink,2/3/05,Cabo San Luis San Luis Obis Ca,10.14
Food/Drink,2/4/05,Woodstocks Pizza San L San Luis Obis Ca,13.49
Shopping,2/5/05,Boo Boo Records San Ls Obispo Ca,17.86
Food/Drink,2/5/05,Firestone Grill San Luis Obis Ca,9.42
Groceries,2/6/05,Atascadero Foodatascaderoatascadero Ca 3319,33.26
Shopping,2/6/05,Paypal *Stainless1 402-935-7733 Ca,12.91
Food/Drink,2/8/05,Baja Fresh #205 San Luis Obis Ca,12.76
Auto/Transportation,2/8/05,Chevron 00092265 San Luis Obis Ca,28.5
,2/9/05,Sou Usps 058102Sou Usps 0San Luis O Ca 3319,9
Cash/ATM,2/10/05,ATM Withdrawal - 02/10 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22
Shopping,2/10/05,Central Coast Surfboar Sanluisobispo Ca,84.16
Other Spending,2/10/05,Monthly Point-Of-Sale (Pos) Purchase Fee,1
Other Spending,2/10/05,Monthly Service Fee,5
,2/10/05,Moondoggies Beach Club 805-5411995 Ca,56.83
Other Spending,2/10/05,Non-Wells Fargo ATM Transaction Fee,2
,2/11/05,Albertsons Albertsonssanta Barbaraca 3319,27.69
Cash/ATM,2/11/05,ATM Withdrawal - 02/11 A030 3451 State Stresanta Barbsta Barbara Ca 3319,42.25
,2/11/05,Longs Drug Storlongs Drugsantabarbara Ca 3319,12.92
Lodging,2/11/05,Motel 6 00000026 Santa Barbara Ca,146.8
Cash/ATM,2/12/05,ATM Withdrawal - 02/12 0979C 3804 State Street Santa Barbara Ca 3319,40
,2/12/05,Elements Rest & Bar Santa Barbara Ca,38.48
Food/Drink,2/13/05,Paradise Cafe Santa Barbara Ca,29.21
Auto/Transportation,2/13/05,Union 76 00372623 Santa Barbara Ca,29.32
,2/14/05,Cheap Thrills Records San Luis Obis Ca,48.22
Shopping,2/14/05,Kmart Kmart Atascadero Ca 3319,45.02
Other Spending,2/14/05,Non-Wells Fargo ATM Transaction Fee,2
Personal Care,2/15/05,Asf*Health Club Dues 800-525-8967 Co,25
Food/Drink,2/18/05,Cabo San Luis San Luis Obis Ca,8.63
Auto/Transportation,2/18/05,Union 76 46044897 Atasacadero Ca,29.29
Groceries,2/19/05,Atascadero Foodatascaderoatascadero Ca 3319,6.67
Food/Drink,2/22/05,Ben Franklin San Luis Obis Ca,5.94
Credit Card/Loan Payments,2/23/05,Bill Pay Bank Of America On-Line 4888603122170541 On 02-23,630
,2/23/05,Custom House Avila Beach Ca,7.24
,2/23/05,Senor Sancho'S Paso Robles Ca,24.75
Food/Drink,2/24/05,Marv'S Original Pizza Paso Robles Ca,24.15
Personal Care,2/25/05,Asf*Health Club Dues 800-525-8967 Co,25
Auto/Transportation,2/25/05,Chevron 00092265 San Luis Obis Ca,30.37
Auto/Transportation,2/27/05,Union 76 03478948 Tustin Ca,20.22
Credit Card/Loan Payments,2/28/05,Bill Pay At&T Universal C On-Line 5491130011008364 On 02-28,199.29
,2/28/05,Dos Amigos Atascadero Ca,28.66
Auto/Transportation,3/1/05,Chevron 00092265 San Luis Obis Ca,31.54
Food/Drink,3/1/05,High Street Market And San Louis Obi Ca,8.81
Other Spending,3/2/05,Bill Pay Service Fee On 03-02,6.95
Shopping,3/3/05,Boo Boo Records San Ls Obispo Ca,28.94
,3/3/05,Kona'S Deli & Cafe San Luis Obis Ca,7.25
,3/4/05,Sandy'S Deli & Liquor San Luis Obis Ca,4.99
Shopping,3/5/05,Limelight Music-Gifts Atascadero Ca,9.12
Food/Drink,3/7/05,Firestone Grill San Luis Obis Ca,9.42
Food/Drink,3/8/05,Franks Famous Hot Dogs San Luis Obis Ca,5.52
,3/8/05,Texaco Service Texaco Sersan Luis Obi Ca 3319,27.77
Food/Drink,3/10/05,Jamba Juice #1 San Luis Obis Ca,3.85
Other Spending,3/10/05,Monthly Point-Of-Sale (Pos) Purchase Fee,1
Other Spending,3/10/05,Monthly Service Fee,5
Food/Drink,3/10/05,Round Table Pizza Atascadero Ca,23.45
Cash/ATM,3/11/05,ATM Withdrawal - 03/11 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,42
Auto/Transportation,3/11/05,Chevron 00092265 San Luis Obis Ca,14.83
Other Spending,3/11/05,Non-Wells Fargo ATM Transaction Fee,2
Food/Drink,3/12/05,Fox Sports Grill Ca Irvine Ca,9.5
,3/12/05,Xi'An Beverly Hills Ca,26.5
,3/12/05,Yard House Irvine Ca,60.5
Food/Drink,3/13/05,Finn,13
Auto/Transportation,3/13/05,Union 76 00398248 Gorman Ca,30.48
,3/14/05,Grand Performance Musi San Luis Obis Ca,6.97
Personal Care,3/15/05,Asf*Health Club Dues 800-525-8967 Co,25
Groceries,3/16/05,Vons Store Vons Satascadero Ca 3319,15.89
,3/17/05,Albertsons Albertsonssan Luis Obisca 3319,24.84
,3/17/05,St Of Calif Dmv-Intern 916-6578943 Ca,243
Cash/ATM,3/18/05,ATM Withdrawal - 03/18 Td213046 723 Higuera Strthe Librarsan Luis Obisca 3319,42
Auto/Transportation,3/18/05,Union 76 46044897 Atasacadero Ca,30.91
,3/20/05,Video Palace Atascadero Ca,3.25
Other Spending,3/21/05,Non-Wells Fargo ATM Transaction Fee,2
Health,3/21/05,Rite Aid Store 5822 San Luis Obis Ca,10
Food/Drink,3/21/05,Subway #1035 San Luis Obis Ca,7.28
Cash/ATM,3/22/05,ATM Withdrawal - 03/22 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22
Other Spending,3/22/05,Non-Wells Fargo ATM Transaction Fee,2
Food/Drink,3/24/05,Mos Smokehouse Bbq San Luis Obis Ca,6.92
Auto/Transportation,3/25/05,Union 76 46044897 Atasacadero Ca,29.59
Cash/ATM,3/26/05,ATM Withdrawal - 03/26 7819T 7135 El Camino Real Atascadero Ca 3319,40
Credit Card/Loan Payments,3/28/05,Bill Pay Bank Of America On-Line 4888603122170541 On 03-28,1000
,3/28/05,Sou Usps 058102Sou Usps 0San Luis O Ca 3319,112.9
Food/Drink,3/30/05,Slo Brewing Co Inc San Luis Obis Ca,21.45
,4/1/05,Bellos Sporting Goods San Luis Obis Ca,28.23
,4/2/05,O'Grady'S Paso Robles Ca,20
Food/Drink,4/2/05,Round Table Pizza Atascadero Ca,14.45
Auto/Transportation,4/2/05,Union 76 46044897 Atasacadero Ca,30.06
Other Spending,4/4/05,Bill Pay Service Fee On 04-02,6.95
Auto/Transportation,4/9/05,Shell Oil 57441083201 Atascadero Ca,35.11
Food/Drink,4/11/05,Cabo San Luis San Luis Obis Ca,6.17
Other Spending,4/12/05,Monthly Point-Of-Sale (Pos) Purchase Fee,1
Other Spending,4/12/05,Monthly Service Fee,5
Cash/ATM,4/13/05,ATM Withdrawal - 04/13 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22
Shopping,4/13/05,Boo Boo Records San Ls Obispo Ca,27.86
Other Spending,4/13/05,Non-Wells Fargo ATM Transaction Fee,2
Shopping,4/14/05,Bestbuy 255 Madbestbuy 25San Luis Obisca 3319,32.16
Checks Written,4/14/05,Check #329 * Gap In Check Sequence,11.68
Personal Care,4/15/05,Asf*Health Club Dues 800-525-8967 Co,25
Auto/Transportation,4/15/05,Chevron 00092265 San Luis Obis Ca,35.34
Shopping,4/16/05,Limelight Music-Gifts Atascadero Ca,29.44
Food/Drink,4/18/05,Franks Famous Hot Dogs San Luis Obis Ca,13.19
Credit Card/Loan Payments,4/19/05,Bill Pay Bank Of America On-Line 4888603122170541 On 04-19,780
Food/Drink,4/19/05,Round Table Pizza 2 King City Ca,8.5
Cash/ATM,4/21/05,ATM Withdrawal - 04/21 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,42
Other Spending,4/21/05,Non-Wells Fargo ATM Transaction Fee,2
,4/22/05,Fee-Op #5675 Fee-Op #56Atascadero Ca 3319,12.51
,4/22/05,Tahoe Joes 00208256 San Luis Obis Ca,15.75
Auto/Transportation,4/23/05,Atascadero Ford Atascadero Ca,173.28
Cash/ATM,4/23/05,ATM Withdrawal - 04/23 7819T 7135 El Camino Real Atascadero Ca 3319,40
Auto/Transportation,4/23/05,Union 76 73752024 Atascadero Ca,33.04
Credit Card/Loan Payments,4/26/05,Bill Pay At&T Universal C On-Line 5491130011008364 On 04-26,77.96
Auto/Transportation,4/26/05,Chevron 00098169 San Luis Obis Ca,33.73
Checks Written,4/27/05,Check #331,50
Cash/ATM,4/30/05,ATM Withdrawal - 04/30 Lk248476 728 Higuera St.Frog & Peasan Luis Obisca 3319,22
Shopping,4/30/05,Central Coast Surfboar Sanluisobispo Ca,53.61
Shopping,4/30/05,Copelands Sports #53 San Luis Obis Ca,90.28
Cash/ATM,5/1/05,ATM Withdrawal - 05/01 Lk248476 728 Higuera St.Frog & Peasan Luis Obisca 3319,42
Shopping,5/1/05,Kmart 00076190 Atascadero Ca,42.89
Shopping,5/2/05,Bestbuy 255 Madbestbuy 25San Luis Obisca 3319,23.54
Other Spending,5/2/05,Bill Pay Service Fee On 05-01,6.95
Auto/Transportation,5/2/05,Chevron 00092265 San Luis Obis Ca,32.53
Food/Drink,5/2/05,Firestone Grill San Luis Obis Ca,7.93
Other Spending,5/2/05,Non-Wells Fargo ATM Transaction Fee,2
Other Spending,5/2/05,Non-Wells Fargo ATM Transaction Fee,2
,5/5/05,Sou Usps 056870Sou Usps 0San Luis Obisca 3319,0.8
Cash/ATM,5/6/05,ATM Withdrawal - 05/06 0901A 665 Marsh St Yan Luis Obis Ca 3319,20
Food/Drink,5/6/05,Domino'S Pizza #08206 Atascadero Ca,20.73
Auto/Transportation,5/9/05,Chevron 00092265 San Luis Obis Ca,34.19
Food/Drink,5/10/05,Ben Franklin San Luis Obis Ca,5.62
Other Spending,5/11/05,Monthly Point-Of-Sale (Pos) Purchase Fee,1
Other Spending,5/11/05,Monthly Service Fee,5
Food/Drink,5/11/05,Mos Smokehouse Bbq San Luis Obis Ca,6.92
Shopping,5/12/05,Boo Boo Records San Ls Obispo Ca,31.08
Auto/Transportation,5/14/05,7-Eleven 7-Eleven Atascadero Ca 3319,3.8
Auto/Transportation,5/16/05,Shell Oil 57441083201 Atascadero Ca,30.88
,5/16/05,Taco Roco Taco Roco San Luis Obisca 3319,7.5
Cash/ATM,5/17/05,ATM Withdrawal - 05/17 Ca037698 1010 Murray Avefirs San Luis Obisca 3319,22
Other Spending,5/17/05,Non-Wells Fargo ATM Transaction Fee,2
,5/18/05,San Luis Luggage Sn Luis Obisp Ca,107.22
,5/19/05,Usps 0581020075 San Luis O Ca,21.4
Food/Drink,5/20/05,Cabo San Luis San Luis Obis Ca,6.17
,5/21/05,"Officemax, Inc.Officemax,Pasa Robles Ca 3319",42.89
Auto/Transportation,5/22/05,Shell Oil 57441083201 Atascadero Ca,32.41
,5/23/05,Circuit City Ss #3360 Culver City Ca,32.46
Food/Drink,5/23/05,Subway #1730 Atas Cadero Ca,6.13
,5/25/05,The Trafford Manchester Gb,8.8
Other Spending,5/26/05,Foreign Curr Conv Fee,0.26
Cash/ATM,5/27/05,ATM Withdrawal - 05/27 N124151 N/Rail Mcr Piccn/Rail Mcrmanchester 3319,18.23
,5/27/05,Cavern Pub Liverpool Gb,9.11
,5/27/05,National Express Manchester Gb,20.78
Other Spending,5/27/05,Non-Wells Fargo ATM Transaction Fee,5
,5/27/05,Yates'S Wine Lodge Manchester Gb,22.78
Cash/ATM,5/28/05,ATM Withdrawal - 05/28 H003 000000000826 Hbeu H003 Gb 3319,36.86
,5/28/05,Bishop Blaze Stretford Gb,24.83
,5/28/05,Man Utd Megastore Manchester Gb,63.78
Auto/Transportation,5/29/05,Exxonmobil34 07929847 Claremon Ca,28.72
,5/29/05,Jitb #0234 00002345 Culver City Ca,4.42
,5/29/05,Sarku Japan Newark Nj,7.08
Food/Drink,5/30/05,Starbucks Usa 00052449 Los Angeles Ca,2.52
Other Spending,5/31/05,Bill Pay Service Fee On 05-31,6.95
Other Spending,5/31/05,Foreign Curr Conv Fee,0.27
Other Spending,5/31/05,Foreign Curr Conv Fee,0.62
Other Spending,5/31/05,Foreign Curr Conv Fee,0.68
Other Spending,5/31/05,Foreign Curr Conv Fee,0.74
